eval_total_steps,l2,gail,tdil
3175,50,50,23
3180,50,50,23
3185,50,50,23
3190,50,50,23
3195,50,50,23
3200,50,50,23
3205,50,50,23
3210,50,50,23
3215,50,50,23
3220,50,50,23
3225,50,50,23
3230,50,50,23
3235,50,50,23
3240,50,50,23
3245,50,50,23
3250,50,50,23
3255,50,50,23
3260,50,50,23
3265,50,50,23
3270,50,50,23
3275,50,50,23
3280,50,50,23
3285,50,50,23
3290,50,50,23
3295,50,50,23
3300,50,50,23
3305,50,50,23
3310,50,50,23
3315,50,50,23
3320,50,50,23
3325,50,50,23
3330,50,50,23
3335,50,50,23
3340,50,50,23
3345,50,50,23
3350,50,50,23
3355,50,50,23
3360,50,50,23
3365,50,50,23
3370,50,50,23
3375,50,50,23
3380,50,50,23
3385,50,50,23
3390,50,50,23
3395,50,50,23
3400,50,50,23
3405,50,50,23
3410,50,50,23
3415,50,50,23
3420,50,50,23
3425,50,50,23
3430,50,50,23
3435,50,50,23
3440,50,50,23
3445,50,50,23
3450,50,50,23
3455,50,50,23
3460,50,50,23
3465,50,50,23
3470,50,50,23
3475,50,50,23
3480,50,50,23
3485,50,50,23
3490,50,50,23
3495,50,50,23
3500,50,50,23
3505,50,50,23
3510,50,50,23
3515,50,50,23
3520,50,23,23
3525,50,50,23
3530,50,50,23
3535,50,50,23
3540,50,50,23
3545,50,50,23
3550,50,50,23
3555,50,50,23
3560,50,50,23
3565,50,50,23
3570,50,50,23
3575,50,50,23
3580,50,50,23
3585,50,50,23
3590,50,50,23
3595,50,50,23
3600,50,50,23
3605,50,50,23
3610,50,50,23
3615,50,50,23
3620,50,50,23
3625,50,50,23
3630,50,50,23
3635,50,50,23
3640,50,50,23
3645,50,50,23
3650,50,50,23
3655,50,50,23
3660,50,50,23
3665,50,50,23
3670,50,50,23
3675,50,50,23
3680,50,50,23
3685,50,50,23
3690,50,50,23
3695,50,50,23
3700,50,50,23
3705,50,23,23
3710,50,50,23
3715,50,50,23
3720,50,50,23
3725,50,50,23
3730,50,50,23
3735,50,50,23
3740,50,50,23
3745,50,50,23
3750,50,50,23
3755,50,50,23
3760,50,50,23
3765,50,50,23
3770,50,50,23
3775,50,50,23
